,isolation_forest,local_outlier_factor,one_class_svm,pca_recon_error,rows,last_ts,last_close
ADANIPORTS.NS,0.21816201115345757,2.382470620281228,0.051852959938679,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,1370.5999755859375
ASIANPAINT.NS,0.2519846020878501,3.748325737833457,0.04860046488135095,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,2570.10009765625
AXISBANK.NS,0.3148052838421519,10.031926090979914,0.26904750210847683,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,1080.199951171875
BAJAJ-AUTO.NS,0.3130867162963198,7.181859036339835,0.1922093415275279,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,8827.5
BAJFINANCE.NS,0.31767763892575085,9.46450076946286,0.39331086556710115,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,887.5
BAJAJFINSV.NS,0.29330259282572513,8.670467622257778,0.4936691734701171,7.549645381997965e-32,210,2025-08-20 09:45:00+00:00,1959.0
BPCL.NS,0.25558817998204053,4.960329407518509,0.05569399363727512,3.944304526105059e-31,210,2025-08-20 09:45:00+00:00,319.79998779296875
BHARTIARTL.NS,0.2949793439799746,4.751137318368356,0.2708342948212126,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,1928.4000244140625
BRITANNIA.NS,0.3051145384335795,5.24943107462878,0.2134599288340122,7.888609052210118e-31,210,2025-08-20 09:45:00+00:00,5710.0
CIPLA.NS,0.306816255715018,8.027375080641674,0.19255854391695304,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,1544.5
COALINDIA.NS,0.24934301487576382,2.025252449980308,0.061134938791444604,1.232595164407831e-31,210,2025-08-20 09:45:00+00:00,385.04998779296875
DIVISLAB.NS,0.2072920025290681,2.28482965757659,0.10480513792865298,1.9721522630525295e-31,210,2025-08-20 09:45:00+00:00,6005.0
DRREDDY.NS,0.2545253606398714,4.083478873950968,0.3335738426941879,1.013896791426046e-31,210,2025-08-20 09:45:00+00:00,1245.4000244140625
EICHERMOT.NS,0.32345276170329806,6.156237000219376,0.25299528233573443,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,5935.0
GRASIM.NS,0.2707382987859779,4.105866273610482,0.06088413308251783,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,2864.89990234375
HCLTECH.NS,0.3487542030564852,7.62214226969363,0.6126261173038043,1.9721522630525295e-30,210,2025-08-20 09:45:00+00:00,1496.0
HDFC.NS,,,,,210,2025-08-20 09:45:00+00:00,1988.300048828125
HDFCBANK.NS,0.3051145384335795,5.435555727566202,0.24227904359537122,7.888609052210118e-31,210,2025-08-20 09:45:00+00:00,1988.300048828125
HDFCLIFE.NS,,,,,0,,
HEROMOTOCO.NS,,,,,0,,
HINDALCO.NS,,,,,0,,
HINDUNILVR.NS,,,,,0,,
ICICIBANK.NS,,,,,0,,
INDUSINDBK.NS,,,,,0,,
INFY.NS,,,,,0,,
IOC.NS,,,,,0,,
ITC.NS,,,,,0,,
JSWSTEEL.NS,,,,,0,,
KOTAKBANK.NS,,,,,0,,
LT.NS,,,,,0,,
M&M.NS,,,,,0,,
MARUTI.NS,,,,,0,,
NESTLEIND.NS,,,,,0,,
NTPC.NS,,,,,0,,
ONGC.NS,,,,,0,,
POWERGRID.NS,,,,,0,,
RELIANCE.NS,0.25655735157219395,3.7893851522648503,0.4544507966609117,4.930380657631324e-31,210,2025-08-20 09:45:00+00:00,1411.300048828125
SBILIFE.NS,,,,,0,,
SBIN.NS,,,,,0,,
SHREECEM.NS,,,,,0,,
SUNPHARMA.NS,,,,,0,,
TATASTEEL.NS,,,,,0,,
TATACONSUM.NS,,,,,0,,
TATAMOTORS.NS,,,,,0,,
TITAN.NS,,,,,0,,
ULTRACEMCO.NS,,,,,0,,
UPL.NS,,,,,0,,
WIPRO.NS,,,,,0,,
TECHM.NS,,,,,0,,
TCS.NS,0.32519323927281896,4.724297498887472,0.3218042424437024,4.005934284325451e-31,210,2025-08-20 09:45:00+00:00,3094.800048828125
